"Pathogen","Taxonomy ID","Uniprot ID","Pathogen Protein","Uniprot ID","Human Protein","Experimental Method","Pubmed ID"
"Human herpesvirus 1 STRAIN 17","10299","P04296","DNBI_HHV11 ","Q92878","RAD50_HUMAN ","anti bait coimmunoprecipitation","15140983"
"Human herpesvirus 1 STRAIN 17","10299","P04296","DNBI_HHV11 ","P51531","SMCA2_HUMAN ","anti bait coimmunoprecipitation","15140983"
"Human herpesvirus 1 STRAIN 17","10299","P04296","DNBI_HHV11 ","P54132","BLM_HUMAN ","anti bait coimmunoprecipitation","15140983"
"Human herpesvirus 1 STRAIN 17","10299","P04296","DNBI_HHV11 ","Q9NPF5","DMAP1_HUMAN ","anti bait coimmunoprecipitation","15140983"
"Human herpesvirus 1 STRAIN 17","10299","P04296","DNBI_HHV11 ","P35659","DEK_HUMAN ","anti bait coimmunoprecipitation","15140983"
"Human herpesvirus 1 STRAIN 17","10299","P04296","DNBI_HHV11 ","Q9Y265","RUVB1_HUMAN ","anti bait coimmunoprecipitation","15140983"
"Human herpesvirus 1 STRAIN 17","10299","P04296","DNBI_HHV11 ","Q15393","SF3B3_HUMAN ","anti bait coimmunoprecipitation","15140983"
"Human herpesvirus 1 STRAIN 17","10299","P04296","DNBI_HHV11 ","Q93009","UBP7_HUMAN ","anti bait coimmunoprecipitation","15140983"
"Human herpesvirus 1 STRAIN 17","10299","P04296","DNBI_HHV11 ","Q969G3","SMCE1_HUMAN ","anti bait coimmunoprecipitation","15140983"
"Human herpesvirus 1 STRAIN 17","10299","P04296","DNBI_HHV11 ","O60264","SMCA5_HUMAN ","anti bait coimmunoprecipitation","15140983"
"Human herpesvirus 1 STRAIN 17","10299","P04296","DNBI_HHV11 ","Q13426","XRCC4_HUMAN ","anti bait coimmunoprecipitation","15140983"
"Human herpesvirus 1 STRAIN 17","10299","P04296","DNBI_HHV11 ","P12004","PCNA_HUMAN ","anti bait coimmunoprecipitation","15140983"
"Human herpesvirus 1 STRAIN 17","10299","P04296","DNBI_HHV11 ","O95602","RPA1_HUMAN ","anti bait coimmunoprecipitation","15140983"
"Human herpesvirus 1 STRAIN 17","10299","P04296","DNBI_HHV11 ","O14981","BTAF1_HUMAN ","anti bait coimmunoprecipitation","15140983"
"Human herpesvirus 1 STRAIN 17","10299","P04296","DNBI_HHV11 ","P02545","LMNA_HUMAN ","anti bait coimmunoprecipitation","15140983"
"Human herpesvirus 1 STRAIN 17","10299","P04296","DNBI_HHV11 ","Q96GM5","SMRD1_HUMAN ","anti bait coimmunoprecipitation","15140983"
"Human herpesvirus 1 STRAIN 17","10299","P04296","DNBI_HHV11 ","P13010","XRCC5_HUMAN ","anti bait coimmunoprecipitation","15140983"
